Front Left,Front Right,Back Left,Back Right
"((-0.26206248255383, -0.33389480048595177), -2.069692494906251)","((0.17284652038278756, -0.19422687865370902), -2.420936943653361)","((0.14128938854776993, -0.21825972758114884), -2.383152738439052)","((-0.2797655298461608, -0.34582767118328994), -2.459065310660258)"
[-0.95165584 -2.06969249 -0.42271082         inf],[-0.84357789 -2.42093694 -1.21673129         inf],[-0.99628966 -2.38315274 -0.30602143         inf],[-1.00373311 -2.45906531 -2.11652752         inf]
"((-0.26103207935367645, -0.33315811997004124), -2.125569639342114)","((0.1728610777477336, -0.1942139227756136), -2.4201975596983276)","((0.14348070527147921, -0.2168254763970298), -2.3331418843849017)","((-0.2904278433215248, -0.3523911337493221), -2.485212823307433)"
[-0.94856642 -2.12556964 -0.50085712         inf],[-0.84350294 -2.42019756 -1.21740419         inf],[-0.9862167  -2.33314188 -0.1938096          inf],[-1.0342722  -2.48521282 -2.10999946         inf]
"((-0.261876360546735, -0.333762089419292), -2.1664896284339124)","((0.172869793184765, -0.19420616520660866), -2.419753497437794)","((0.14661771988135666, -0.21471666031491837), -2.2619982839325043)","((-0.28887330903268793, -0.35146197569750426), -2.488948511172264)"
[-0.9510983  -2.16648963 -0.57920051         inf],[-0.84345806 -2.4197535  -1.21780913         inf],[-0.97167833 -2.26199828 -0.22194241         inf],[-1.029855   -2.48894851 -2.11356396         inf]
"((-0.2610471575827697, -0.3331689347774283), -2.226970374948322)","((0.17287502339607602, -0.19420150948385076), -2.4194865049438734)","((0.14962345741742128, -0.21263306655000094), -2.194717729426678)","((-0.28145487410076453, -0.34689771971820066), -2.5121334444834686)"
[-0.94861168 -2.22697037 -0.66090629         inf],[-0.84343113 -2.4194865  -1.21805289         inf],[-0.95761168 -2.19471773 -0.2424882          inf],[-1.00861049 -2.51213344 -2.04347379         inf]
"((-0.26151668747107415, -0.3335051868340741), -2.258893079712654)","((0.17287816655380836, -0.1941987114503948), -2.41932586871593)","((0.15258152753999066, -0.21052049176639095), -2.1293936968248266)","((-0.27138566765111405, -0.3403461282939371), -2.5621800849139915)"
[-0.95002025 -2.25889308 -0.76589905         inf],[-0.84341494 -2.41932587 -1.21819965         inf],[-0.94363084 -2.1293937  -0.26983282         inf],[-0.97930943 -2.56218008 -1.90478829         inf]
