Front Left,Front Right,Back Left,Back Right
[-0.96975049 -2.47989311 -2.09302361         inf],[-0.68403669 -2.37982452 -1.34734489         inf],[-0.66452044 -2.44869256 -1.30907983         inf],[-0.96540909 -2.4803063  -2.09355392         inf]
"((-0.28696331409770376, -0.35030753697253836), -2.5151210423911348)","((0.20150490458010786, -0.16430390570574283), -2.3748381483843284)","((0.2046960741217729, -0.1603106897219698), -2.4452592535569755)","((-0.2858953545402552, -0.34965583191555233), -2.5154548429543064)"
[-1.02441164 -2.51512104 -2.13082726         inf],[-0.68405138 -2.37483815 -1.35216133         inf],[-0.66439073 -2.44525925 -1.31216219         inf],[-1.02136017 -2.51545484 -2.13124045         inf]
"((-0.30719278720977994, -0.3618361213257554), -2.5477092373740247)","((0.2015011845678675, -0.16430846788204861), -2.3714070289211477)","((0.20470855410452699, -0.1602947531157335), -2.4430800520481206)","((-0.3064105699048724, -0.3614182238839703), -2.5479844383126764)"
[-1.08120927 -2.54770924 -2.16605519         inf],[-0.68407402 -2.37140703 -1.35550602         inf],[-0.66431288 -2.44308005 -1.31413527         inf],[-1.07904622 -2.54798444 -2.16638899         inf]
"((-0.32866931029280144, -0.3724859658624142), -2.577603370407588)","((0.2014976092678019, -0.16431285238641627), -2.369030359783247)","((0.2047162185856558, -0.16028496451005628), -2.4416903867196034)","((-0.3280925197901874, -0.37222012069192717), -2.5778326439745385)"
[-1.13968607 -2.57760337 -2.19864339         inf],[-0.68409578 -2.36903036 -1.35783714         inf],[-0.66426506 -2.44169039 -1.31540016         inf],[-1.13813703 -2.57783264 -2.19891859         inf]
"((-0.3306157657446549, -0.37337512127313777), -2.5802786044726416)","((0.20149463422861394, -0.16431650062326997), -2.367376533703888)","((0.20472100005469376, -0.16027885742232528), -2.440801566736166)","((-0.3301891887135079, -0.37318130763775315), -2.5805231321761077)"
[-1.14490541 -2.5802786  -2.22853752         inf],[-0.68411389 -2.36737653 -1.35946609         inf],[-0.66423523 -2.44080157 -1.31621188         inf],[-1.14376262 -2.58052313 -2.22876679         inf]
"((-0.320977487023266, -0.3688508368534563), -2.6049919191379862)","((0.20149231880176485, -0.16431933989609368), -2.3662220422596754)","((0.20472401438988963, -0.16027500719728036), -2.4402320035700855)","((-0.3206287323086294, -0.3686813642249777), -2.6049286174368467)"
